PRACTICE,SUB_CHAPTER,ITEMS,NIC,ACT COST,QUANTITY,ClusterNumber
A85611,601011,15,667.54,618.52,112,1
A85611,601012,25,1359.53,1259.61,185,1
A85614,601011,19,644.26,597.02,104,0
A85614,601012,25,1114.55,1032.79,163,0
A85616,601011,18,658.82,610.48,112,1
A85616,601012,34,1290.63,1196.02,253,1
A85617,601011,10,542.47,502.62,95,1
A85617,601012,24,1312.2,1215.85,183,1
A85620,601011,8,398.03,368.79,58,1
A85620,601012,17,781.88,724.55,126,1
A86003,601011,69,3198.99,2964.07,498,0
A86003,601012,127,5804.27,5378.07,953,0
A86004,601011,30,1208.1,1119.46,177,2
A86004,601012,100,4007.3,3713.23,767,2
A86005,601011,20,936.98,868.16,163,1
A86005,601012,63,2919.24,2704.84,533,1
A86006,601011,9,440.68,408.31,75,3
A86006,601012,32,1657.24,1535.47,285,3
A86007,601011,5,353.16,327.19,54,0
A86007,601012,13,630.58,584.24,86,0
A86008,601011,34,1775.56,1645.12,246,1
A86008,601012,91,4433.31,4107.63,775,1
A86010,601011,26,1212.75,1123.68,175,1
A86010,601012,55,3116.5,2887.43,590,1
A86011,601011,35,1420.98,1316.67,228,2
A86011,601012,147,6835.31,6355,1235,2
A86012,601011,20,1028.91,953.33,180,2
A86012,601012,77,3469.98,3215.35,646,2
A86013,601011,25,1140.62,1056.86,187,2
A86013,601012,56,3592.36,3328.22,606,2
A86015,601011,10,534.59,495.31,66,1
A86015,601012,21,1243.68,1152.21,215,1
A86016,601011,28,1525.49,1413.4,259,1
A86016,601012,67,4005.74,3711.25,758,1
A86017,601011,20,1036.31,960.17,158,2
A86017,601012,133,5838.36,5409.63,1090,2
A86018,601011,29,1563.94,1449.02,227,1
A86018,601012,61,3776.31,3498.63,588,1
A86020,601011,13,678.07,628.25,99,1
A86020,601012,14,772.96,716.14,103,1
A86021,601011,33,1262.95,1170.39,194,2
A86021,601012,118,4906.96,4546.9,932,2
A86022,601011,17,691.35,640.81,119,3
