PRACTICE,ITEMS  ,NIC        ,ACT COST   ,QUANTITY,PERIOD
Y03715,1125,4393.319999999999,4115.400000000001,46903,52445120
Y03761,205,6040.240000000001,5600.630000000003,30560,21784896
Y03909,92,2130.4200000000005,1975.5400000000004,7161,13716416
Y03910,165,3503.1500000000005,3249.880000000001,15137,20574624
Y03956,20,130.63000000000002,121.74,1148,3630816
Y03957,10,79.22,73.59,2929,1815408
Y04103,203,4033.690000000001,3741.8000000000006,31737,16540384
Y04312,62,1579.11,1463.76,3634,4841088
Y04334,1010,16087.579999999994,14950.409999999998,54069,68582080
Y04813,70,380.23,360.15000000000003,14497,6656496
Y04942,1723,18553.030000000002,17228.270000000004,128057,79676240
Y04973,39,207.39000000000001,193.26000000000002,1925,3630816
Y04974,36,165.06999999999996,154.93,2217,5244512
Y04975,1584,6298.5899999999965,5893.1100000000015,66934,38325280
Y04976,27,82.54999999999998,77.42,1167,3429104
Y05202,1,2.38,2.22,200,201712
Y05227,238,1228.33,1147.7999999999995,10080,17952368
Y05362,86,343.4399999999999,320.7900000000001,2751,7866768
Y05412,24,103.24,96.21999999999998,992,3630816
Y05436,3129,13114.910000000002,12248.330000000004,165124,91375536
Y05515,45,226.59999999999997,211.34000000000003,1708,5849648
Y05747,54,141.95999999999998,132.85000000000005,3284,7059920
Y05764,10,20.0,18.660000000000004,471,1815408
Y05792,3,40.01,37.099999999999994,83,605136
Y05870,139,620.9600000000002,578.65,8731,13312992
Y05871,110,430.18,403.02000000000004,5287,12909568
Y05940,1,1.54,1.54,40,201712
